Time of Record (Adjusted to Time Zone),,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/17/20 12:33,,Amazing,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/17/20 12:40,,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Afternoon
4/17/20 12:41,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Afternoon
4/17/20 12:45,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 12:45,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/17/20 12:47,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/17/20 12:48,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Afternoon
4/17/20 12:48,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Afternoon
4/17/20 12:51,,Ok,i4: Exercise,I want to and have to,,Inflow,Afternoon
4/17/20 12:56,,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/17/20 13:02,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/17/20 13:11,,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
4/17/20 13:21,,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 13:28,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/17/20 13:36,,Amazing,"i7: Observation (e.g. strolling, birdwatching)",I want to,Morning,Inflow,Afternoon
4/17/20 13:43,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/17/20 13:45,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 13:45,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Afternoon
4/17/20 13:45,,Amazing,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/17/20 13:50,,Good,i10: Inflow - Other,I want to,Evening,Inflow,Afternoon
4/17/20 13:53,,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/17/20 13:53,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/17/20 14:00,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Afternoon
4/17/20 14:03,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/17/20 14:04,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/17/20 14:09,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 14:15,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
4/17/20 14:24,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/17/20 14:30,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
4/17/20 14:30,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 14:30,,Good,i10: Inflow - Other,I want to,Morning,Inflow,Afternoon
4/17/20 14:45,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Afternoon
4/17/20 14:45,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",of something else; I neither want to nor have to,,Inflow,Afternoon
4/17/20 14:46,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Afternoon
4/17/20 14:47,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/17/20 14:53,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 14:59,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Afternoon
4/17/20 15:01,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
4/17/20 15:02,,Good,i10: Inflow - Other,I want to,,Inflow,Afternoon
4/17/20 15:05,,Good,b4: Creative (e.g. painting),I have to,Morning,Bi-Directional,Afternoon
4/17/20 15:08,,Ok,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/17/20 15:09,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/17/20 15:30,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/17/20 15:31,,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/17/20 15:31,,Good,i4: Exercise,I want to,,Inflow,Afternoon
4/17/20 15:35,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/17/20 15:38,,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 15:48,,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/17/20 15:56,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Afternoon
4/17/20 16:01,,Amazing,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Afternoon
4/17/20 16:02,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/17/20 16:02,,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/17/20 16:04,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 16:15,,Ok,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/17/20 16:17,,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Afternoon
4/17/20 16:23,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Afternoon
4/17/20 16:30,,Bad,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Afternoon
4/17/20 16:30,,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/17/20 16:31,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Afternoon
4/17/20 16:35,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/17/20 16:36,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,,Bi-Directional,Afternoon
4/17/20 16:39,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Afternoon
4/17/20 16:46,,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/17/20 16:46,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/17/20 16:47,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Afternoon
4/17/20 16:54,,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/17/20 17:00,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
4/17/20 17:06,,Good,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/17/20 17:12,,Ok,b11: Bi-directional - Other,I want to and have to,Morning,Bi-Directional,Evening
4/17/20 17:13,,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
4/17/20 17:15,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Evening
4/17/20 17:22,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/17/20 17:24,,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,Morning,Inflow,Evening
4/17/20 17:27,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/17/20 17:30,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/17/20 17:30,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/17/20 17:31,,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/17/20 17:45,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/17/20 17:51,,Ok,i4: Exercise,I want to,,Inflow,Evening
4/17/20 17:53,,Amazing,b4: Creative (e.g. painting),I want to,,Bi-Directional,Evening
4/17/20 18:00,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",of something else; I neither want to nor have to,Morning,Bi-Directional,Evening
4/17/20 18:00,,Ok,"i7: Observation (e.g. strolling, birdwatching)",I want to,Evening,Inflow,Evening
4/17/20 18:03,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Evening
4/17/20 18:05,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/17/20 18:10,,Amazing,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/17/20 18:12,,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
4/17/20 18:14,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/17/20 18:15,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/17/20 18:17,,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Evening
4/17/20 18:31,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/17/20 18:34,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/17/20 18:41,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/17/20 18:47,,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to,Evening,Bi-Directional,Evening
4/17/20 18:49,,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Morning,Inflow,Evening
4/17/20 18:50,,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Evening
4/17/20 19:00,,Good,"i7: Observation (e.g. strolling, birdwatching)",I want to,Morning,Inflow,Evening
4/17/20 19:01,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/17/20 19:15,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",of something else; I neither want to nor have to,Morning,Bi-Directional,Evening
4/17/20 19:18,,Good,i4: Exercise,I want to,,Inflow,Evening
4/17/20 19:18,,Good,i3: Eating and drinking,I want to and have to,,Inflow,Evening
4/17/20 19:21,,Ok,b11: Bi-directional - Other,I want to and have to,Evening,Bi-Directional,Evening
4/17/20 19:30,,Good,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Evening
4/17/20 19:49,,Ok,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Evening,Inflow,Evening
4/17/20 19:53,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Evening
4/17/20 19:56,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/17/20 19:58,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to and have to,Evening,Inflow,Evening
4/17/20 20:00,,Amazing,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
4/17/20 20:09,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
4/17/20 20:15,,Ok,"i1: Consuming art (e.g. movie, museum)",of something else; I neither want to nor have to,,Inflow,Evening
4/17/20 20:15,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/17/20 20:15,,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Evening
4/17/20 20:16,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Evening
4/17/20 20:21,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Evening
4/17/20 20:22,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Evening
4/17/20 20:32,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/17/20 20:37,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/17/20 20:37,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
4/17/20 20:43,,Ok,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/17/20 20:49,,Good,"b5: Intellectual (e.g. writing, coding)",of something else; I neither want to nor have to,Morning,Bi-Directional,Evening
4/17/20 21:01,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Night
4/17/20 21:03,,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Night
4/17/20 21:04,,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Night
4/17/20 21:09,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/17/20 21:15,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/17/20 21:16,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Night
4/17/20 21:23,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Night
4/17/20 21:37,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Night
4/17/20 21:45,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/17/20 22:00,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/17/20 22:00,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/17/20 22:15,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,,Bi-Directional,Night
4/17/20 22:45,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/17/20 23:00,,Awful,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Evening,Bi-Directional,Night
4/17/20 23:09,,Good,i3: Eating and drinking,I want to,,Inflow,Night
4/17/20 23:13,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Night
4/17/20 23:20,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/17/20 23:20,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
4/17/20 23:47,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/17/20 23:48,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/17/20 23:57,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/17/20 23:57,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/18/20 7:50,,Good,i3: Eating and drinking,I want to,,Inflow,Morning
4/18/20 7:51,,Ok,"b7: Manual work (e.g., housework)",I have to,,Bi-Directional,Morning
4/18/20 7:56,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/18/20 8:00,,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/18/20 8:00,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Morning,Inflow,Morning
4/18/20 8:01,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Morning
4/18/20 8:01,,Amazing,"b8: Romantic (e.g., date)",I want to,,Bi-Directional,Morning
4/18/20 8:01,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
4/18/20 8:03,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/18/20 8:15,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
4/18/20 8:24,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Morning
4/18/20 8:42,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/18/20 8:46,,Amazing,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/18/20 9:00,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/18/20 9:01,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/18/20 9:05,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Morning
4/18/20 9:11,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Morning
4/18/20 9:12,,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/18/20 9:12,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Morning
4/18/20 9:15,,Good,"i9: Self-care (e.g. grooming, pooping)",I have to,,Inflow,Morning
4/18/20 9:19,,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Morning
4/18/20 9:20,,Bad,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Morning
4/18/20 9:45,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
4/18/20 9:45,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to and have to,,Inflow,Morning
4/18/20 9:45,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Morning
4/18/20 9:47,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/18/20 10:00,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/18/20 10:00,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
4/18/20 10:02,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Morning
4/18/20 10:15,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/18/20 10:55,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
4/18/20 10:57,,Amazing,i4: Exercise,I want to and have to,Morning,Inflow,Morning
4/18/20 11:00,,Amazing,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Morning
4/18/20 11:00,,Good,"i5: Fun (e.g. drinking, games)",of something else; I neither want to nor have to,,Inflow,Morning
4/18/20 11:03,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/18/20 11:04,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/18/20 11:05,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/18/20 11:05,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/18/20 11:25,,Good,i10: Inflow - Other,I want to,Morning,Inflow,Morning
4/18/20 11:26,,Awful,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/18/20 11:34,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
4/18/20 11:34,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Morning
4/18/20 11:38,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
4/18/20 11:45,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/18/20 11:45,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/18/20 11:45,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Morning
4/18/20 11:46,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
4/18/20 11:46,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/18/20 11:50,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/18/20 11:55,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Morning
4/18/20 12:00,,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Morning,Bi-Directional,Afternoon
4/18/20 12:00,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/18/20 12:00,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 12:00,,Amazing,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 12:04,,Good,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/18/20 12:04,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/18/20 12:13,,Amazing,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
4/18/20 12:25,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/18/20 12:25,,Bad,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Afternoon
4/18/20 12:31,,Good,i4: Exercise,I have to,Morning,Inflow,Afternoon
4/18/20 12:41,,Bad,i3: Eating and drinking,I have to,Evening,Inflow,Afternoon
4/18/20 12:45,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/18/20 12:45,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/18/20 12:45,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Afternoon
4/18/20 12:45,,Good,i4: Exercise,I want to,,Inflow,Afternoon
4/18/20 12:49,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,,Bi-Directional,Afternoon
4/18/20 12:50,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 13:00,,Bad,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/18/20 13:02,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I have to,Evening,Inflow,Afternoon
4/18/20 13:15,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/18/20 13:16,,Amazing,b11: Bi-directional - Other,I want to,Morning,Bi-Directional,Afternoon
4/18/20 13:21,,Amazing,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/18/20 13:30,,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 13:30,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Afternoon
4/18/20 13:36,,Amazing,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 13:41,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Afternoon
4/18/20 13:45,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/18/20 13:45,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/18/20 13:45,,Amazing,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Afternoon
4/18/20 13:45,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to and have to,Evening,Inflow,Afternoon
4/18/20 13:47,,Good,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
4/18/20 13:48,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,,Bi-Directional,Afternoon
4/18/20 14:00,,Ok,"b7: Manual work (e.g., housework)",I have to,,Bi-Directional,Afternoon
4/18/20 14:01,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/18/20 14:01,,Amazing,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/18/20 14:17,,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/18/20 14:20,,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/18/20 14:26,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/18/20 14:30,,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
4/18/20 14:31,,Good,i10: Inflow - Other,I want to,Morning,Inflow,Afternoon
4/18/20 14:43,,Amazing,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/18/20 14:45,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Afternoon
4/18/20 14:47,,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to and have to,Evening,Inflow,Afternoon
4/18/20 14:55,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,,Bi-Directional,Afternoon
4/18/20 14:55,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/18/20 14:55,,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 14:57,,Amazing,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/18/20 15:00,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Afternoon
4/18/20 15:00,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Afternoon
4/18/20 15:02,,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/18/20 15:08,,Ok,"i5: Fun (e.g. drinking, games)",of something else; I neither want to nor have to,,Inflow,Afternoon
4/18/20 15:09,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
4/18/20 15:17,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/18/20 15:30,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Afternoon
4/18/20 15:30,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/18/20 15:44,,Good,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/18/20 15:44,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/18/20 15:46,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
4/18/20 15:48,,Good,b4: Creative (e.g. painting),I want to and have to,Evening,Bi-Directional,Afternoon
4/18/20 15:59,,Good,"b7: Manual work (e.g., housework)",I want to,Evening,Bi-Directional,Afternoon
4/18/20 16:11,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Afternoon
4/18/20 16:11,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/18/20 16:16,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
4/18/20 16:24,,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/18/20 16:27,,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Afternoon
4/18/20 16:30,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/18/20 16:30,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Afternoon
4/18/20 16:30,,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Afternoon
