Time of Record (Adjusted to Time Zone),Email,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/16/20 10:56 AM,0.6616841653736802,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/16/20 11:00 AM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Morning
4/16/20 11:00 AM,0.25970807074888325,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/16/20 11:00 AM,0.04207113480625202,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/16/20 11:01 AM,0.4679025128092601,Bad,i10: Inflow - Other,I have to,,Inflow,Morning
4/16/20 11:01 AM,0.2386110987670348,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Morning
4/16/20 11:14 AM,0.011015262917951851,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/16/20 11:30 AM,0.6593225488258994,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Morning
4/16/20 11:35 AM,0.21399290811170335,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/16/20 11:41 AM,0.4154004326871584,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Morning
4/16/20 11:45 AM,0.003906290489614772,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Morning
4/16/20 11:45 AM,0.2620106905400832,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/16/20 11:47 AM,0.7116742748513436,Amazing,i3: Eating and drinking,I want to and have to,,Inflow,Morning
4/16/20 11:57 AM,0.7259792119135012,Good,"b7: Manual work (e.g., housework)",I want to and have to,,Bi-Directional,Morning
4/16/20 12:00 PM,0.18749150776964763,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to,Evening,Bi-Directional,Afternoon
4/16/20 12:01 PM,0.21399290811170335,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/16/20 12:03 PM,0.056777490296152755,Good,i4: Exercise,I want to,,Inflow,Afternoon
4/16/20 12:05 PM,0.07987691256179696,Ok,"b7: Manual work (e.g., housework)",I want to and have to,,Bi-Directional,Afternoon
4/16/20 12:15 PM,0.5230119531266414,Amazing,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/16/20 12:15 PM,0.41432378521528046,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/16/20 12:16 PM,0.7067347814443499,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Morning,Bi-Directional,Afternoon
4/16/20 12:16 PM,0.8902515255079483,Ok,i3: Eating and drinking,I have to,Morning,Inflow,Afternoon
4/16/20 12:24 PM,0.6478801025509782,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/16/20 12:27 PM,0.7259792119135012,Good,"b7: Manual work (e.g., housework)",I want to and have to,,Bi-Directional,Afternoon
4/16/20 12:28 PM,0.11474372029382096,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Afternoon
4/16/20 12:32 PM,0.11474372029382096,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/16/20 12:32 PM,0.41434933550599706,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/16/20 12:39 PM,0.8046453647887467,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Morning,Bi-Directional,Afternoon
4/16/20 12:40 PM,0.8046453647887467,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Afternoon
4/16/20 12:42 PM,0.1891973955850632,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Afternoon
4/16/20 12:45 PM,0.003906290489614772,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/16/20 12:45 PM,0.4679025128092601,Ok,"i9: Self-care (e.g. grooming, pooping)",I have to,,Inflow,Afternoon
4/16/20 12:46 PM,0.8262523326828731,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/16/20 1:02 PM,0.33879887216117854,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/16/20 1:44 PM,0.25970807074888325,Amazing,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Afternoon
4/16/20 1:45 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/16/20 1:49 PM,0.7154627748693038,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/16/20 2:00 PM,0.41432378521528046,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
4/16/20 2:00 PM,0.7067347814443499,Amazing,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/16/20 2:02 PM,0.21399290811170335,Bad,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/16/20 2:05 PM,0.2972751661913613,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Morning,Bi-Directional,Afternoon
4/16/20 2:17 PM,0.6478801025509782,Ok,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Afternoon
4/16/20 2:17 PM,0.11474372029382096,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/16/20 2:19 PM,0.41432378521528046,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
4/16/20 2:19 PM,0.7259792119135012,Good,"b7: Manual work (e.g., housework)",I want to,,Bi-Directional,Afternoon
4/16/20 2:30 PM,0.6013327568356811,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,,Bi-Directional,Afternoon
4/16/20 2:34 PM,0.4154004326871584,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/16/20 2:40 PM,0.7154627748693038,Amazing,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/16/20 2:45 PM,0.2681813060878999,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to,,Inflow,Afternoon
4/16/20 2:50 PM,0.33879887216117854,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Afternoon
4/16/20 3:00 PM,0.056777490296152755,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Afternoon
4/16/20 3:00 PM,0.21399290811170335,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/16/20 3:43 PM,0.07987691256179696,Awful,b11: Bi-directional - Other,of something else; I neither want to nor have to,,Bi-Directional,Afternoon
4/16/20 3:43 PM,0.7116742748513436,Amazing,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/16/20 3:43 PM,0.7116742748513436,Good,b4: Creative (e.g. painting),I want to and have to,,Bi-Directional,Afternoon
4/16/20 3:44 PM,0.5230119531266414,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Afternoon
4/16/20 3:45 PM,0.7067347814443499,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Afternoon
4/16/20 3:45 PM,0.7259792119135012,Amazing,"b9: Socializing (e.g., partying, meal)",I want to and have to,,Bi-Directional,Afternoon
4/16/20 3:51 PM,0.07166431874897428,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/16/20 4:00 PM,0.0732407481040791,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/16/20 4:00 PM,0.29391579396123757,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/16/20 4:00 PM,0.11474372029382096,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,,Bi-Directional,Afternoon
4/16/20 4:03 PM,0.6478801025509782,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/16/20 4:05 PM,0.41432378521528046,Amazing,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/16/20 4:07 PM,0.2972751661913613,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/16/20 4:17 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/16/20 4:30 PM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/16/20 4:30 PM,0.1891973955850632,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/16/20 4:31 PM,0.2972751661913613,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/16/20 4:49 PM,0.7154627748693038,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Afternoon
4/16/20 4:49 PM,0.33879887216117854,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/16/20 5:01 PM,0.21399290811170335,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/16/20 5:06 PM,0.41434933550599706,Ok,i4: Exercise,I want to,,Inflow,Evening
4/16/20 5:06 PM,0.7782348362999689,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/16/20 5:07 PM,0.6616841653736802,Good,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Evening
4/16/20 5:12 PM,0.07987691256179696,Amazing,i4: Exercise,I want to,,Inflow,Evening
4/16/20 5:30 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I have to,Evening,Inflow,Evening
4/16/20 5:30 PM,0.2620106905400832,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Evening
4/16/20 5:30 PM,0.7259792119135012,Ok,"b9: Socializing (e.g., partying, meal)",I want to and have to,,Bi-Directional,Evening
4/16/20 5:34 PM,0.41432378521528046,Good,i10: Inflow - Other,I want to,Morning,Inflow,Evening
4/16/20 5:36 PM,0.7067347814443499,Ok,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/16/20 5:46 PM,0.4679025128092601,Amazing,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/16/20 5:48 PM,0.07166431874897428,Good,"i5: Fun (e.g. drinking, games)",I have to,Evening,Inflow,Evening
4/16/20 5:51 PM,0.07987691256179696,Amazing,"b8: Romantic (e.g., date)",I want to,,Bi-Directional,Evening
4/16/20 6:00 PM,0.2972751661913613,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Evening
4/16/20 6:00 PM,0.6418846738228277,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Evening
4/16/20 6:05 PM,0.056777490296152755,Amazing,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/16/20 6:10 PM,0.21399290811170335,Bad,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Evening
4/16/20 6:16 PM,0.7154627748693038,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
4/16/20 6:20 PM,0.0732407481040791,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Evening
4/16/20 6:26 PM,0.8902515255079483,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Evening
4/16/20 6:28 PM,0.8046453647887467,Ok,"b7: Manual work (e.g., housework)",I have to,Morning,Bi-Directional,Evening
4/16/20 6:28 PM,0.8046453647887467,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/16/20 6:28 PM,0.8046453647887467,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Evening
4/16/20 6:30 PM,0.003906290489614772,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/16/20 6:30 PM,0.2681813060878999,Ok,"b7: Manual work (e.g., housework)",I want to,,Bi-Directional,Evening
4/16/20 6:30 PM,0.4679025128092601,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/16/20 6:45 PM,0.4154004326871584,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/16/20 6:45 PM,0.5230119531266414,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Morning,Bi-Directional,Evening
4/16/20 6:49 PM,0.2972751661913613,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Evening
4/16/20 6:56 PM,0.21399290811170335,Ok,b4: Creative (e.g. painting),I want to and have to,Evening,Bi-Directional,Evening
4/16/20 6:56 PM,0.7782348362999689,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
4/16/20 7:00 PM,0.25970807074888325,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/16/20 7:00 PM,0.18749150776964763,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/16/20 7:11 PM,0.0732407481040791,Amazing,"b5: Intellectual (e.g. writing, coding)",I want to,Morning,Bi-Directional,Evening
4/16/20 7:14 PM,0.2972751661913613,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Evening
4/16/20 7:15 PM,0.7259792119135012,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Evening
4/16/20 7:15 PM,0.7116742748513436,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/16/20 7:15 PM,0.7067347814443499,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Evening
4/16/20 7:15 PM,0.8262523326828731,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Evening
4/16/20 7:18 PM,0.41432378521528046,Awful,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Morning,Bi-Directional,Evening
4/16/20 7:28 PM,0.41432378521528046,Awful,"b2: Communication - Virtual, Social (e.g. messaging)",I have to,Morning,Bi-Directional,Evening
4/16/20 7:30 PM,0.6478801025509782,Bad,"i9: Self-care (e.g. grooming, pooping)",I have to,Evening,Inflow,Evening
4/16/20 7:32 PM,0.11474372029382096,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Evening
4/16/20 7:53 PM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/16/20 8:00 PM,0.0732407481040791,Ok,"b7: Manual work (e.g., housework)",I have to,Morning,Bi-Directional,Evening
4/16/20 8:00 PM,0.0732407481040791,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Evening
4/16/20 8:00 PM,0.29391579396123757,Good,i3: Eating and drinking,I want to,Evening,Inflow,Evening
4/16/20 8:01 PM,0.8046453647887467,Amazing,"b10: Spiritual (e.g., meditating, praying)",I want to,Morning,Bi-Directional,Evening
4/16/20 8:07 PM,0.21399290811170335,Good,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Evening
4/16/20 8:15 PM,0.4679025128092601,Ok,"i1: Consuming art (e.g. movie, museum)",of something else; I neither want to nor have to,,Inflow,Evening
4/16/20 8:15 PM,0.003906290489614772,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/16/20 8:15 PM,0.07987691256179696,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/16/20 8:15 PM,0.33879887216117854,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Evening
4/16/20 8:16 PM,0.011015262917951851,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/16/20 8:46 PM,0.6737788102981581,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Evening
4/16/20 9:08 PM,0.21399290811170335,Ok,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Night
4/16/20 9:15 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to and have to,Evening,Inflow,Night
4/16/20 9:15 PM,0.2620106905400832,Amazing,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/16/20 9:24 PM,0.6616841653736802,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/16/20 10:00 PM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Morning,Inflow,Night
4/16/20 10:11 PM,0.29391579396123757,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Night
4/16/20 10:11 PM,0.07166431874897428,Amazing,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/16/20 10:15 PM,0.003906290489614772,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Night
4/16/20 10:19 PM,0.21399290811170335,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/16/20 11:00 PM,0.1891973955850632,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Night
4/16/20 11:35 PM,0.21399290811170335,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Night
4/17/20 2:14 AM,0.1891973955850632,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/17/20 6:42 AM,0.7782348362999689,Good,i4: Exercise,I want to and have to,Morning,Inflow,Morning
4/17/20 6:47 AM,0.8046453647887467,Good,"i8: Rest (e.g. rolling in bed, waiting)",I have to,Morning,Inflow,Morning
4/17/20 7:00 AM,0.7067347814443499,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Morning
4/17/20 7:00 AM,0.7259792119135012,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,,Inflow,Morning
4/17/20 7:03 AM,0.2972751661913613,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/17/20 7:08 AM,0.41432378521528046,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/17/20 7:17 AM,0.050374096737726304,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Morning,Inflow,Morning
4/17/20 7:17 AM,0.07987691256179696,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
4/17/20 7:24 AM,0.6737788102981581,Ok,i4: Exercise,I want to and have to,Morning,Inflow,Morning
4/17/20 7:32 AM,0.7154627748693038,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/17/20 8:00 AM,0.6593225488258994,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I have to,Evening,Inflow,Morning
4/17/20 8:00 AM,0.29391579396123757,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/17/20 8:00 AM,0.2972751661913613,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
4/17/20 8:02 AM,0.7116742748513436,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/17/20 8:03 AM,0.7116742748513436,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/17/20 8:04 AM,0.8695821654152704,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Morning
4/17/20 8:15 AM,0.1891973955850632,Good,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Morning
4/17/20 8:16 AM,0.056777490296152755,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,,Bi-Directional,Morning
4/17/20 8:28 AM,0.2972751661913613,Good,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Morning
4/17/20 8:52 AM,0.2092499418422893,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/17/20 9:00 AM,0.7259792119135012,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/17/20 9:00 AM,0.7067347814443499,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Morning
4/17/20 9:00 AM,0.7154627748693038,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/17/20 9:01 AM,0.41434933550599706,Good,i4: Exercise,I want to,,Inflow,Morning
4/17/20 9:02 AM,0.6478801025509782,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Morning
4/17/20 9:15 AM,0.25970807074888325,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/17/20 9:16 AM,0.4679025128092601,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,,Inflow,Morning
4/17/20 9:34 AM,0.41432378521528046,Amazing,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Morning
4/17/20 9:48 AM,0.22321679639639314,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/17/20 9:49 AM,0.2620106905400832,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Morning
4/17/20 10:00 AM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Evening,Bi-Directional,Morning
4/17/20 10:01 AM,0.22321679639639314,Ok,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/17/20 10:01 AM,0.2092499418422893,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/17/20 10:02 AM,0.8046453647887467,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/17/20 10:11 AM,0.8714338755110943,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Morning
4/17/20 10:15 AM,0.8046453647887467,Ok,i4: Exercise,I want to and have to,Morning,Inflow,Morning
4/17/20 10:15 AM,0.050374096737726304,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Morning
4/17/20 10:18 AM,0.11474372029382096,Good,"i9: Self-care (e.g. grooming, pooping)",of something else; I neither want to nor have to,,Inflow,Morning
4/17/20 10:19 AM,0.6616841653736802,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/17/20 10:20 AM,0.29391579396123757,Ok,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/17/20 10:34 AM,0.07166431874897428,Amazing,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Evening,Inflow,Morning
4/17/20 10:36 AM,0.1891973955850632,Ok,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/17/20 10:45 AM,0.7116742748513436,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/17/20 10:45 AM,0.7067347814443499,Good,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Morning,Inflow,Morning
4/17/20 10:45 AM,0.7154627748693038,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to,Morning,Bi-Directional,Morning
4/17/20 10:51 AM,0.5230119531266414,Ok,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Morning
4/17/20 10:55 AM,0.4154004326871584,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Evening,Inflow,Morning
4/17/20 11:01 AM,0.7116742748513436,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Morning
4/17/20 11:06 AM,0.7259792119135012,Good,i4: Exercise,I want to and have to,,Inflow,Morning
4/17/20 11:08 AM,0.056777490296152755,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,,Bi-Directional,Morning
4/17/20 11:09 AM,0.6013327568356811,Good,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,,Inflow,Morning
4/17/20 11:24 AM,0.2092499418422893,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Morning
4/17/20 11:59 AM,0.8695821654152704,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/17/20 12:00 PM,0.2620106905400832,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/17/20 12:00 PM,0.21399290811170335,Good,"b5: Intellectual (e.g. writing, coding)",I want to,Evening,Bi-Directional,Afternoon
4/17/20 12:01 PM,0.07166431874897428,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/17/20 12:04 PM,0.6478801025509782,Good,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/17/20 12:15 PM,0.6593225488258994,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 12:16 PM,0.29391579396123757,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Evening,Inflow,Afternoon
4/17/20 12:16 PM,0.41432378521528046,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Afternoon
4/17/20 12:17 PM,0.8902515255079483,Ok,i4: Exercise,I have to,Morning,Inflow,Afternoon
4/17/20 12:17 PM,0.5230119531266414,Good,"i5: Fun (e.g. drinking, games)",I want to,Morning,Inflow,Afternoon
4/17/20 12:19 PM,0.11474372029382096,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,,Bi-Directional,Afternoon
4/17/20 12:22 PM,0.003906290489614772,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Afternoon
4/17/20 12:30 PM,0.1891973955850632,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 12:33 PM,0.2092499418422893,Amazing,i3: Eating and drinking,I want to and have to,Evening,Inflow,Afternoon
4/17/20 12:40 PM,0.7782348362999689,Amazing,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Afternoon
4/17/20 12:41 PM,0.0732407481040791,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Morning,Bi-Directional,Afternoon
4/17/20 12:45 PM,0.003906290489614772,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/17/20 12:45 PM,0.7067347814443499,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/17/20 12:47 PM,0.41434933550599706,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/17/20 12:48 PM,0.4679025128092601,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Afternoon
4/17/20 12:48 PM,0.11474372029382096,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Afternoon
4/17/20 12:51 PM,0.7259792119135012,Ok,i4: Exercise,I want to and have to,,Inflow,Afternoon
4/17/20 12:56 PM,0.056777490296152755,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/17/20 1:02 PM,0.2972751661913613,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Afternoon
4/17/20 1:11 PM,0.7782348362999689,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,Morning,Bi-Directional,Afternoon
